"PLANT_ID" "SUBPOP" "Lat_origin" "Long_origin" "PLOT_GL" "SITE" "FL50" "GR50" "cgdd_12c_gr2fl" "crain_gr2fl" "crain_5d" "dyln_fl50" "dyln_change_sec" "DOY" "crain_1d" "crain_2d" "crain_3d" "crain_7d"
"94" "J008.B" "Gulf" 35.426617 91.839435 "M3221" "KBSM" 247 130 976.45 348 4 13.0738791979669 -165.779093062093 2019-09-05 0 0 1 4
"95" "J008.D" "Gulf" 35.426617 91.839435 "P6805" "PKLE" 181 60 1298.55 499.6 37.9 14.0886567069036 -18.0024083683556 2019-07-01 0 11.9 22.6 37.9
"96" "J008.D" "Gulf" 35.426617 91.839435 "T2321" "TMPL" 189 57 1231.535 663.83 17.12 14.0778474869864 -37.3058325244664 2019-07-09 0 16.26 16.26 17.12
"97" "J008.D" "Gulf" 35.426617 91.839435 "K1815" "KING" 195 70 1712.75 321.01 0 13.7452075304108 -43.2534667302704 2019-07-15 0 0 0 0
"98" "J008.D" "Gulf" 35.426617 91.839435 "C6809" "CLMB" 225 116 1014.7 448.83 26.92 13.8080211236188 -128.724782589997 2019-08-14 0 0.76 4.82 26.92
"99" "J008.D" "Gulf" 35.426617 91.839435 "F1913" "FRMI" 235 140 1007.25 316.2 15.5 13.584120258329 -154.457245254567 2019-08-24 0 0 0 15.5
"100" "J008.D" "Gulf" 35.426617 91.839435 "L2308" "LINC" 244 148 996.65 312.2 34.3 13.1621967214212 -156.910927936172 2019-09-02 0 0 0.5 34.3
"101" "J008.D" "Gulf" 35.426617 91.839435 "B1601" "BRKG" 252 151 810.1 367.6 24.3 12.8939213163983 -179.467836643869 2019-09-10 9.1 12.1 32.4 33.4
"102" "J008.D" "Gulf" 35.426617 91.839435 "M2618" "KBSM" 256 127 1049.15 414 35 12.6543729598405 -169.137075527042 2019-09-14 0 12 17 35
"103" "J013.A" "Gulf" 38.824832 97.625651 "P3820" "PKLE" 196 76 1504.65 499.2 0 13.9385411952568 -50.8848609730457 2019-07-16 0 0 0 0
"104" "J013.A" "Gulf" 38.824832 97.625651 "C4216" "CLMB" 225 119 1011.05 446.54 26.92 13.8080211236188 -128.724782589997 2019-08-14 0 0.76 4.82 26.92
"105" "J013.B" "Gulf" 38.5111 96.8005 "K1513" "KING" 137 72 665.2 159.48 1.77 13.5266711673509 67.1308794668363 2019-05-18 0 0 0 1.77
