path,site,phe,subpop,individuals,SNPs,PCs,date_run,time_run,bonferroni,notes,qqplot,peak info
analysis/gwas/GDD/QQplot,KBSM,PTT.12C,Midwest,108,8.8M,8,2020-06-13,15.00.07.png,,,,
analysis/gwas/GDD/QQplot,KBSM,PTT.12C,Gulf,191,10.3M,4,2020-06-14,00.11.10.png,,,,
analysis/gwas/GDD/QQplot,KBSM,PTT.12C,Atlantic,198,10.6M,7,2020-06-14,14.04.20.png,,,,
analysis/gwas/GDD/QQplot,KBSM,PTT.12C,Midwest_Gulf,299,12.1M,7,2020-06-13,02.16.55.png,,,,
analysis/gwas/GDD/QQplot,KBSM,PTT.12C,Midwest_Atlantic,306,12.3M,13,2020-06-15,07.06.35.png,,,,
analysis/gwas/GDD/QQplot,KING,CGDD.12C,Gulf,111,10.3M,8,2020-06-13,18.33.18.png,,,,
analysis/gwas/GDD/QQplot,KING,CGDD.12C,Midwest_Gulf,135,12.1M,4,2020-06-12,16.29.50.png,,,,
analysis/gwas/GDD/QQplot,KING,CRAIN.5d,Gulf,111,10.3M,0,2020-06-13,22.32.12.png,,,,
analysis/gwas/GDD/QQplot,KING,CRAIN.5d,Midwest_Gulf,135,12.1M,0,2020-06-12,23.02.51.png,,,,
analysis/gwas/GDD/QQplot,KING,CRAIN,Gulf,111,10.3M,4,2020-06-13,22.20.11.png,,,,
analysis/gwas/GDD/QQplot,KING,CRAIN,Midwest_Gulf,135,12.1M,4,2020-06-12,22.49.33.png,,,,
analysis/gwas/GDD/QQplot,KING,EM1,Gulf,185,10.3M,1,2020-06-14,02.43.07.png,,,,
analysis/gwas/GDD/QQplot,KING,EM1,Midwest_Gulf,214,12.1M,2,2020-06-13,06.18.59.png,,,,
analysis/gwas/GDD/QQplot,KING,EM50,Gulf,183,10.3M,6,2020-06-14,02.55.37.png,,,,
analysis/gwas/GDD/QQplot,KING,EM50,Midwest_Gulf,208,12.1M,11,2020-06-13,06.32.40.png,,,,
analysis/gwas/GDD/QQplot,KING,FL1,Gulf,165,10.3M,4,2020-06-14,03.08.26.png,,,,
analysis/gwas/GDD/QQplot,KING,FL1,Midwest_Gulf,194,12.1M,3,2020-06-13,06.46.45.png,,,,
analysis/gwas/GDD/QQplot,KING,FL50,Gulf,155,10.3M,9,2020-06-13,20.52.14.png,,,,
analysis/gwas/GDD/QQplot,KING,FL50,Midwest_Gulf,179,12.1M,7,2020-06-12,20.17.34.png,,,,
analysis/gwas/GDD/QQplot,KING,GR100,Midwest_Atlantic,102,12.3M,4,2020-06-15,11.43.17.png,,,,
analysis/gwas/GDD/QQplot,KING,GR100,Gulf,161,10.3M,6,2020-06-14,03.33.30.png,,,,
analysis/gwas/GDD/QQplot,KING,GR100,Midwest_Gulf,190,12.1M,9,2020-06-13,07.15.45.png,,,,
analysis/gwas/GDD/QQplot,KING,GR1,Midwest_Atlantic,106,12.3M,4,2020-06-15,11.28.57.png,,,,
analysis/gwas/GDD/QQplot,KING,GR1,Gulf,126,10.3M,4,2020-06-14,03.20.43.png,,,,
analysis/gwas/GDD/QQplot,KING,GR1,Midwest_Gulf,158,12.1M,5,2020-06-13,07.01.15.png,,,,
analysis/gwas/GDD/QQplot,KING,GR50,Midwest_Atlantic,103,12.3M,4,2020-06-14,23.54.21.png,,,,
analysis/gwas/GDD/QQplot,KING,GR50,Gulf,138,10.3M,6,2020-06-13,19.36.49.png,,,,
analysis/gwas/GDD/QQplot,KING,GR50,Midwest_Gulf,168,12.1M,5,2020-06-12,18.25.07.png,,,,
