indv,subpop,site,phe,bonferroni,qqplot,notes,peak info,mash_decision,SNPs,PCs,date_run,time_run,plot order,,key
185,Atlantic_Gulf,BRKG,FL1,100,ok,structure,,,11.5M,12,2020-06-16,05.41.18,24,,
377,Atlantic_Gulf,CLMB,FL1,1,ok,,,,11.5M,12,2020-06-16,06.51.01,78,,
404,Atlantic_Gulf,KBSM,FL1,1,signal,,,,11.5M,13,2020-06-16,10.20.37,144,,
231,Atlantic_Gulf,KING,FL1,1,signal,nice,"5N, 6N",,11.5M,5,2020-06-16,08.00.43,192,,
189,Atlantic_Gulf,LINC,FL1,1,ok,,,,11.5M,14,2020-06-16,09.10.35,233,,
471,Atlantic_Gulf,PKLE,FL1,10,signal,,,,11.5M,12,2020-06-16,04.30.47,290,,
319,Atlantic_Gulf,STIL,FL1,1,ok,,,,11.5M,12,2020-06-16,11.31.05,344,,
300,Atlantic_Gulf,TMPL,FL1,1,signal,,8N,,11.5M,12,2020-06-16,12.12.32,387,,
181,Atlantic_Gulf,BRKG,FL50,100,signal,structure,,,11.5M,12,2020-06-15,20.50.30,28,,
377,Atlantic_Gulf,CLMB,FL50,1,signal,,,,11.5M,12,2020-06-15,21.04.28,84,,
397,Atlantic_Gulf,KBSM,FL50,10,signal,,,,11.5M,12,2020-06-15,21.46.34,150,,
217,Atlantic_Gulf,KING,FL50,0,ok,,,,11.5M,12,2020-06-15,21.18.29,195,,
189,Atlantic_Gulf,LINC,FL50,10,signal,,,,11.5M,14,2020-06-15,21.32.28,237,,
446,Atlantic_Gulf,PKLE,FL50,100,signal,nice,"6K, 8K, 9K",,11.5M,12,2020-06-15,20.36.20,296,,
170,Atlantic_Gulf,STIL,FL50,0,low sig,,,,11.5M,12,2020-06-15,22.00.21,347,,
300,Atlantic_Gulf,TMPL,FL50,10,signal,nice,"8N, 1N",,11.5M,12,2020-06-15,22.14.22,392,,
191,Atlantic_Gulf,BRKG,GR1,0,low sig,,,,11.5M,8,2020-06-16,05.55.20,32,,
408,Atlantic_Gulf,KBSM,GR1,1,signal,nice,6K,,11.5M,13,2020-06-16,10.34.38,156,,
200,Atlantic_Gulf,KING,GR1,100,signal,messy,,,11.5M,3,2020-06-16,08.14.36,199,,
192,Atlantic_Gulf,LINC,GR1,10,signal,nice,1N,,11.5M,3,2020-06-16,09.24.27,241,,
492,Atlantic_Gulf,PKLE,GR1,1,ok,,,,11.5M,9,2020-06-16,04.44.50,302,,
373,Atlantic_Gulf,STIL,GR1,0,ok,,,,11.5M,1,2020-06-16,11.45.14,352,,
316,Atlantic_Gulf,TMPL,GR1,100,ok,messy,,,11.5M,15,2020-06-16,12.26.38,397,,
131,Atlantic_Gulf,BRKG,GR100,0,low sig,,,,11.5M,3,2020-06-16,06.08.58,37,,
377,Atlantic_Gulf,CLMB,GR100,0,ok,,,,11.5M,11,2020-06-16,07.19.13,102,,
367,Atlantic_Gulf,KBSM,GR100,0,ok,,,,11.5M,8,2020-06-16,10.48.45,168,,
234,Atlantic_Gulf,KING,GR100,10,ok,nice,"3N, 8K",,11.5M,11,2020-06-16,08.28.41,207,,
181,Atlantic_Gulf,LINC,GR100,0,low sig,,,,11.5M,6,2020-06-16,09.38.06,249,,
491,Atlantic_Gulf,PKLE,GR100,0,ok,,,,11.5M,14,2020-06-16,04.58.52,314,,
362,Atlantic_Gulf,STIL,GR100,0,low sig,,,,11.5M,0,2020-06-16,11.58.45,362,,
305,Atlantic_Gulf,TMPL,GR100,0,low sig,,,,11.5M,11,2020-06-16,12.41.13,407,,
153,Atlantic_Gulf,BRKG,GR50,0,low sig,,,,11.5M,7,2020-06-15,18.58.19,33,,
377,Atlantic_Gulf,CLMB,GR50,100,signal,nice,"7K, 5K, 1K",,11.5M,8,2020-06-15,19.12.40,96,,
394,Atlantic_Gulf,KBSM,GR50,1,signal,,,,11.5M,9,2020-06-15,19.54.44,162,,
