site,phe,individuals,SNPs,PCs,date_run,subpop,time_run,bonferroni,notes,peak info,qqplot
KBSM,FL50,308,12.3M,13,2020-06-15,Midwest_Atlantic,02.03.49,10,nice,Chr04N,
KBSM,FL50,397,11.5M,12,2020-06-15,Atlantic_Gulf,21.46.34,,,,
KBSM,GR1,109,8.8M,0,2020-06-13,Midwest,17.40.21,,structure,,skip
KBSM,GR1,200,10.6M,3,2020-06-14,Atlantic,19.14.18,0,,,skip
KBSM,GR1,208,10.3M,8,2020-06-14,Gulf,04.24.10,10,,,skip
KBSM,GR1,309,12.3M,4,2020-06-15,Midwest_Atlantic,13.53.59,1,,,skip
KBSM,GR1,317,12.1M,9,2020-06-13,Midwest_Gulf,09.23.19,100,nice,"Chr02N, 9K, 9N",
KBSM,GR1,408,11.5M,13,2020-06-16,Atlantic_Gulf,10.34.38,,,,
KBSM,GR100,108,8.8M,0,2020-06-13,Midwest,17.51.44,,structure,,skip
KBSM,GR100,171,10.3M,5,2020-06-14,Gulf,04.37.00,0,,,skip
KBSM,GR100,196,10.6M,1,2020-06-14,Atlantic,19.27.08,0,,,skip
KBSM,GR100,279,12.1M,6,2020-06-13,Midwest_Gulf,09.37.22,1,,,skip
KBSM,GR100,304,12.3M,2,2020-06-15,Midwest_Atlantic,14.08.44,0,,,skip
KBSM,GR100,367,11.5M,8,2020-06-16,Atlantic_Gulf,10.48.45,,,,
KBSM,GR50,108,8.8M,0,2020-06-13,Midwest,12.42.59,,structure,,skip
KBSM,GR50,195,10.3M,9,2020-06-13,Gulf,19.49.33,1,nice,,
KBSM,GR50,199,10.6M,3,2020-06-14,Atlantic,08.43.14,0,,,skip
KBSM,GR50,303,12.1M,5,2020-06-12,Midwest_Gulf,18.52.38,10,,,skip
KBSM,GR50,307,12.3M,4,2020-06-15,Midwest_Atlantic,00.22.56,0,,,skip
KBSM,GR50,394,11.5M,9,2020-06-15,Atlantic_Gulf,19.54.44,,,,
KBSM,PTT.12C,108,8.8M,8,2020-06-13,Midwest,15.00.07,0,,,skip
KBSM,PTT.12C,191,10.3M,4,2020-06-14,Gulf,00.11.10,100,,,skip
KBSM,PTT.12C,198,10.6M,7,2020-06-14,Atlantic,14.04.20,0,,,skip
KBSM,PTT.12C,299,12.1M,7,2020-06-13,Midwest_Gulf,02.16.55,1000,,lots,skip
KBSM,PTT.12C,306,12.3M,13,2020-06-15,Midwest_Atlantic,07.06.35,100,nice,,
KBSM,PTT.12C,389,11.5M,12,2020-06-16,Atlantic_Gulf,03.20.31,,,,
KING,CGDD.12C,111,10.3M,8,2020-06-13,Gulf,18.33.18,0,,,skip
KING,CGDD.12C,135,12.1M,4,2020-06-12,Midwest_Gulf,16.29.50,1,,,skip
KING,CGDD.12C,172,11.5M,6,2020-06-15,Atlantic_Gulf,17.34.37,,,,
KING,CRAIN.5d,111,10.3M,0,2020-06-13,Gulf,22.32.12,100,messy,,skip
KING,CRAIN.5d,135,12.1M,0,2020-06-12,Midwest_Gulf,23.02.51,10,messy,,skip
KING,CRAIN.5d,172,11.5M,1,2020-06-16,Atlantic_Gulf,00.05.14,,,,
KING,CRAIN,111,10.3M,4,2020-06-13,Gulf,22.20.11,1,,,skip
KING,CRAIN,135,12.1M,4,2020-06-12,Midwest_Gulf,22.49.33,1,,,skip
KING,CRAIN,172,11.5M,6,2020-06-15,Atlantic_Gulf,23.51.46,,,,
KING,EM1,185,10.3M,1,2020-06-14,Gulf,02.43.07,0,nice,,
KING,EM1,214,12.1M,2,2020-06-13,Midwest_Gulf,06.18.59,0,nice,,
KING,EM1,255,11.5M,3,2020-06-16,Atlantic_Gulf,07.33.01,,,,
KING,EM50,183,10.3M,6,2020-06-14,Gulf,02.55.37,1,,,skip
KING,EM50,208,12.1M,11,2020-06-13,Midwest_Gulf,06.32.40,1,,,skip
KING,EM50,252,11.5M,12,2020-06-16,Atlantic_Gulf,07.46.53,,,,
KING,FL1,165,10.3M,4,2020-06-14,Gulf,03.08.26,1,,,skip
KING,FL1,194,12.1M,3,2020-06-13,Midwest_Gulf,06.46.45,1,,,skip
KING,FL1,231,11.5M,5,2020-06-16,Atlantic_Gulf,08.00.43,,,,
KING,FL50,155,10.3M,9,2020-06-13,Gulf,20.52.14,1,,,skip
KING,FL50,179,12.1M,7,2020-06-12,Midwest_Gulf,20.17.34,1,,,skip
KING,FL50,217,11.5M,12,2020-06-15,Atlantic_Gulf,21.18.29,,,,
KING,GR1,106,12.3M,4,2020-06-15,Midwest_Atlantic,11.28.57,0,,,skip
KING,GR1,126,10.3M,4,2020-06-14,Gulf,03.20.43,10,,,skip
KING,GR1,158,12.1M,5,2020-06-13,Midwest_Gulf,07.01.15,100,messy,,skip
KING,GR1,200,11.5M,3,2020-06-16,Atlantic_Gulf,08.14.36,,,,
KING,GR100,102,12.3M,4,2020-06-15,Midwest_Atlantic,11.43.17,0,,,skip
KING,GR100,161,10.3M,6,2020-06-14,Gulf,03.33.30,1,nice,,
KING,GR100,190,12.1M,9,2020-06-13,Midwest_Gulf,07.15.45,10,nice,,
KING,GR100,234,11.5M,11,2020-06-16,Atlantic_Gulf,08.28.41,,,,
KING,GR50,103,12.3M,4,2020-06-14,Midwest_Atlantic,23.54.21,0,,,skip
KING,GR50,138,10.3M,6,2020-06-13,Gulf,19.36.49,10,,,skip
KING,GR50,168,12.1M,5,2020-06-12,Midwest_Gulf,18.25.07,100,,,skip
KING,GR50,211,11.5M,6,2020-06-15,Atlantic_Gulf,19.26.40,,,,
KING,PTT.12C,111,10.3M,8,2020-06-13,Gulf,23.58.30,0,,,skip
KING,PTT.12C,135,12.1M,4,2020-06-13,Midwest_Gulf,01.48.14,1,,,skip
KING,PTT.12C,172,11.5M,6,2020-06-16,Atlantic_Gulf,02.52.12,,,,
LINC,CGDD.12C,123,10.6M,3,2020-06-14,Atlantic,07.13.25,0,,,skip
LINC,CGDD.12C,132,12.1M,6,2020-06-12,Midwest_Gulf,16.44.31,100,nice,"Chr04K, Chr05N",
LINC,CGDD.12C,188,11.5M,12,2020-06-15,Atlantic_Gulf,17.48.28,,,,
LINC,CGDD.12C,190,12.3M,9,2020-06-14,Midwest_Atlantic,22.12.12,0,,,skip
LINC,CRAIN.5d,123,10.6M,3,2020-06-14,Atlantic,12.08.41,1,,,skip
LINC,CRAIN.5d,132,12.1M,6,2020-06-12,Midwest_Gulf,23.29.44,1,,,skip
LINC,CRAIN.5d,188,11.5M,3,2020-06-16,Atlantic_Gulf,00.32.28,,,,
LINC,CRAIN.5d,190,12.3M,0,2020-06-15,Midwest_Atlantic,04.27.28,1,,,skip
