site,phe,indv,SNPs,PCs,date_run,subpop,time_run,bonferroni,notes,peak info,qqplot,qqplot,plot order,,key
KBSM,FL1,109,8.8M,6,2020-06-13,Midwest,17.28.57,,structure,,skip,drop,139,,
KBSM,FL1,199,10.6M,5,2020-06-14,Atlantic,19.01.31,10,nice,"9K, 6K",,signal,140,,
KBSM,FL1,205,10.3M,14,2020-06-14,Gulf,04.11.25,1,,,,ok,141,,
KBSM,FL1,308,12.3M,13,2020-06-15,Midwest_Atlantic,13.39.25,10,nice,Chr05N,,signal,142,,
KBSM,FL1,314,12.1M,15,2020-06-13,Midwest_Gulf,09.08.58,1,nice,Chr04K,,signal,143,,
KBSM,FL1,404,11.5M,13,2020-06-16,Atlantic_Gulf,10.20.37,1,,,,signal,144,,
KBSM,FL50,109,8.8M,6,2020-06-13,Midwest,13.17.18,0,,,skip,ok,145,,
KBSM,FL50,198,10.3M,7,2020-06-13,Gulf,21.04.47,100,nice,,,signal,146,,
KBSM,FL50,199,10.6M,5,2020-06-14,Atlantic,10.13.14,0,,,skip,ok,147,,
KBSM,FL50,307,12.1M,11,2020-06-12,Midwest_Gulf,20.45.04,100,nice,"Chr05N, Chr09K",,signal,148,,
KBSM,FL50,308,12.3M,13,2020-06-15,Midwest_Atlantic,02.03.49,10,nice,Chr04N,,ok,149,,
KBSM,FL50,397,11.5M,12,2020-06-15,Atlantic_Gulf,21.46.34,10,,,,signal,150,,
KBSM,GR1,109,8.8M,0,2020-06-13,Midwest,17.40.21,,structure,,skip,signal,151,,
KBSM,GR1,200,10.6M,3,2020-06-14,Atlantic,19.14.18,0,,,skip,ok,152,,
KBSM,GR1,208,10.3M,8,2020-06-14,Gulf,04.24.10,10,,,,signal,153,,
KBSM,GR1,309,12.3M,4,2020-06-15,Midwest_Atlantic,13.53.59,1,,,,ok,154,,
KBSM,GR1,317,12.1M,9,2020-06-13,Midwest_Gulf,09.23.19,100,nice,"Chr02N, 9K, 9N",,signal,155,,
KBSM,GR1,408,11.5M,13,2020-06-16,Atlantic_Gulf,10.34.38,1,nice,6K,,signal,156,,
KBSM,GR50,108,8.8M,0,2020-06-13,Midwest,12.42.59,,structure,,skip,drop,157,,
KBSM,GR50,195,10.3M,9,2020-06-13,Gulf,19.49.33,1,nice,5K,,signal,158,,
KBSM,GR50,199,10.6M,3,2020-06-14,Atlantic,08.43.14,0,,,skip,low sig,159,,
KBSM,GR50,303,12.1M,5,2020-06-12,Midwest_Gulf,18.52.38,10,nice,9N,,signal,160,,
KBSM,GR50,307,12.3M,4,2020-06-15,Midwest_Atlantic,00.22.56,0,,,skip,ok,161,,
KBSM,GR50,394,11.5M,9,2020-06-15,Atlantic_Gulf,19.54.44,1,,,,signal,162,,
KBSM,GR100,108,8.8M,0,2020-06-13,Midwest,17.51.44,,structure,,skip,drop,163,,
KBSM,GR100,171,10.3M,5,2020-06-14,Gulf,04.37.00,0,,,skip,low sig,164,,
KBSM,GR100,196,10.6M,1,2020-06-14,Atlantic,19.27.08,0,,,skip,low sig,165,,
KBSM,GR100,279,12.1M,6,2020-06-13,Midwest_Gulf,09.37.22,1,,,,signal,166,,
KBSM,GR100,304,12.3M,2,2020-06-15,Midwest_Atlantic,14.08.44,0,,,skip,low sig,167,,
KBSM,GR100,367,11.5M,8,2020-06-16,Atlantic_Gulf,10.48.45,0,,,skip,ok,168,,
KBSM,PTT.12C,108,8.8M,8,2020-06-13,Midwest,15.00.07,0,,,skip,low sig,169,,
KBSM,PTT.12C,191,10.3M,4,2020-06-14,Gulf,00.11.10,100,,,,iffy,170,,
KBSM,PTT.12C,198,10.6M,7,2020-06-14,Atlantic,14.04.20,0,,,skip,ok,171,,
KBSM,PTT.12C,299,12.1M,7,2020-06-13,Midwest_Gulf,02.16.55,1000,,lots,,signal,172,,
KBSM,PTT.12C,306,12.3M,13,2020-06-15,Midwest_Atlantic,07.06.35,100,nice,"2K, 4N, 5N",,ok,173,,
KBSM,PTT.12C,389,11.5M,12,2020-06-16,Atlantic_Gulf,03.20.31,10,nice,"2K, 5N, 7N",,signal,174,,
KING,CGDD.12C,111,10.3M,8,2020-06-13,Gulf,18.33.18,0,,,skip,ok,175,,
KING,CGDD.12C,135,12.1M,4,2020-06-12,Midwest_Gulf,16.29.50,1,,,,signal,176,,
KING,CGDD.12C,172,11.5M,6,2020-06-15,Atlantic_Gulf,17.34.37,0,,,skip,ok,177,,
KING,CRAIN.5d,111,10.3M,0,2020-06-13,Gulf,22.32.12,100,messy,,skip,signal,178,,
KING,CRAIN.5d,135,12.1M,0,2020-06-12,Midwest_Gulf,23.02.51,10,messy,,skip,signal,179,,
KING,CRAIN.5d,172,11.5M,1,2020-06-16,Atlantic_Gulf,00.05.14,10,messy,,skip,signal,180,,
KING,CRAIN,111,10.3M,4,2020-06-13,Gulf,22.20.11,1,,,,ok,181,,
KING,CRAIN,135,12.1M,4,2020-06-12,Midwest_Gulf,22.49.33,1,,,,signal,182,,
KING,CRAIN,172,11.5M,6,2020-06-15,Atlantic_Gulf,23.51.46,0,,,skip,low sig,183,,
KING,EM1,185,10.3M,1,2020-06-14,Gulf,02.43.07,0,nice,"3K, 9K",,low sig,184,,
KING,EM1,214,12.1M,2,2020-06-13,Midwest_Gulf,06.18.59,0,nice,"3K, 9K",,low sig,185,,
KING,EM1,255,11.5M,3,2020-06-16,Atlantic_Gulf,07.33.01,0,nice,3K,,low sig,186,,
KING,EM50,183,10.3M,6,2020-06-14,Gulf,02.55.37,1,,,,signal,187,,
KING,EM50,208,12.1M,11,2020-06-13,Midwest_Gulf,06.32.40,1,,,,signal,188,,
