,Estimate,SE,site,subpop,phe,bic,loglik,,,,Estimate,SE,site,subpop,phe,bic,loglik
,0.678,0.080,TX1,Gulf,dyln_change_sec,1309.1,-649.5,,,,,,,,,,
,0.308,0.117,TX1,Gulf,crain_gr2fl,1466.4,-728.2,,,,,,,,,,
,0.028,0.040,TX1,Gulf,CRAIN_5d,1162.3,-576.1,,,,,,,,,,
,0.023,0.037,TX1,Gulf,crain_7d,1163.4,-576.7,,,,,,,,,,
,0.000,0.057,TX1,Gulf,crain_3d,867.6,-428.8,,,,,,,,,,
,0.000,0.083,TX1,Gulf,crain_2d,831.5,-410.7,,,,,,,,,,
*,0.890,0.027,TX1,Gulf_and_Midwest,dyln_fl50,-218.4,114.4,,,,,,,,,,
*,0.822,0.042,TX1,Gulf_and_Midwest,cgdd_12c_gr2fl,2370.7,-1180.2,,,,,,,,,,
,0.814,0.044,TX1,Gulf_and_Midwest,FL50,1353.7,-671.7,,,,,,,,,,
,0.726,0.062,TX1,Gulf_and_Midwest,dyln_change_sec,1518.7,-754.2,,,,,,,,,,
,0.513,0.085,TX1,Gulf_and_Midwest,crain_gr2fl,1714.4,-852.0,,,,,,,,,,
,0.039,0.064,TX1,Gulf_and_Midwest,crain_2d,973.6,-481.6,,,,,,,,,,
,0.025,0.034,TX1,Gulf_and_Midwest,CRAIN_5d,1323.6,-656.6,,,,,,,,,,
,0.020,0.053,TX1,Gulf_and_Midwest,crain_3d,1006.6,-498.1,,,,,,,,,,
,0.019,0.034,TX1,Gulf_and_Midwest,crain_7d,1330.9,-660.3,,,,,,,,,,
*,1.000,0.000,TX1,Midwest,crain_gr2fl,210.5,-102.1,,,,,,,,,,
*,1.000,0.000,TX1,Midwest,dyln_change_sec,176.4,-85.1,,,,,,,,,,
*,1.000,0.000,TX1,Midwest,crain_2d,139.6,-66.7,,,,,,,,,,
*,1.000,0.000,TX1,Midwest,FL50,159.2,-76.5,,,,,,,,,,
*,1.000,0.000,TX1,Midwest,dyln_fl50,-30.7,18.5,,,,,,,,,,
*,1.000,0.000,TX1,Midwest,crain_7d,163.5,-78.6,,,,,,,,,,
*,1.000,2.113,TX1,Midwest,cgdd_12c_gr2fl,285.8,-139.8,,,,,,,,,,
,0.733,2.029,TX1,Midwest,crain_3d,139.8,-66.8,,,,,,,,,,
,0.728,1.461,TX1,Midwest,CRAIN_5d,149.7,-71.7,,,,,,,,,,
*,0.987,0.002,TX2,Gulf,crain_gr2fl,1999.3,-994.1,,,,,,,,,,
*,0.983,0.003,TX2,Gulf,dyln_fl50,-213.8,112.5,,,,,,,,,,
