Estimate,SE,site,subpop,phe,bic,loglik
0.725584033,0.061566134,TX1,Gulf_and_Midwest,dyln_change_sec,1518.747108,-754.1974041
0.814127655,0.043617404,TX1,Gulf_and_Midwest,FL50,1353.67466,-671.6611804
0.68944078,0.076278406,TX1,Gulf_and_Midwest,GR50,928.0822868,-458.8649937
0.821674888,0.041714341,TX1,Gulf_and_Midwest,cgdd_12c_gr2fl,2370.745153,-1180.196427
0.512912116,0.084613677,TX1,Gulf_and_Midwest,crain_gr2fl,1714.413509,-852.0306046
0.025282458,0.034346162,TX1,Gulf_and_Midwest,CRAIN_5d,1323.625108,-656.6364042
0.03883707,0.064390136,TX1,Gulf_and_Midwest,crain_2d,973.6342809,-481.6409907
0.020234934,0.05254953,TX1,Gulf_and_Midwest,crain_3d,1006.633067,-498.1403837
0.018902823,0.034186702,TX1,Gulf_and_Midwest,crain_7d,1330.939547,-660.2936239
0.973126318,0.004481983,TX2,Gulf_and_Midwest,dyln_fl50,-316.9093347,164.4386036
0.946084828,0.008963962,TX2,Gulf_and_Midwest,dyln_change_sec,2890.435514,-1439.233821
0.968987047,0.005163054,TX2,Gulf_and_Midwest,FL50,2695.303775,-1341.667951
0.847088129,0.024457228,TX2,Gulf_and_Midwest,GR50,2125.261112,-1056.64662
0.963847359,0.00601008,TX2,Gulf_and_Midwest,cgdd_12c_gr2fl,4978.068723,-2483.050425
0.990071072,0.001658057,TX2,Gulf_and_Midwest,crain_gr2fl,3158.383135,-1573.207631
0.903527165,0.016724942,TX2,Gulf_and_Midwest,CRAIN_5d,2925.701422,-1456.866775
0.768109394,0.041453909,TX2,Gulf_and_Midwest,crain_2d,2376.515866,-1182.273996
0.854591648,0.025410477,TX2,Gulf_and_Midwest,crain_3d,2562.025123,-1275.028625
0.883315664,0.02016349,TX2,Gulf_and_Midwest,crain_7d,2991.138115,-1489.585121
0.657028141,0.067641776,TX3,Gulf_and_Midwest,dyln_fl50,-34.1891723,22.79167964
0.853546643,0.033397396,TX3,Gulf_and_Midwest,dyln_change_sec,2420.067035,-1204.336424
0.76200126,0.050345855,TX3,Gulf_and_Midwest,FL50,2248.709713,-1118.657763
0.810119937,0.037836882,TX3,Gulf_and_Midwest,GR50,1505.55055,-747.0781814
0.751128754,0.051454105,TX3,Gulf_and_Midwest,cgdd_12c_gr2fl,3930.6486,-1959.627206
0.985187568,0.00340232,TX3,Gulf_and_Midwest,crain_gr2fl,2562.763558,-1275.684685
0.564524775,0.102736037,TX3,Gulf_and_Midwest,CRAIN_5d,1711.792591,-850.1992022
0.07210326,0.068617143,TX3,Gulf_and_Midwest,crain_2d,1437.897813,-713.2518132
0.056413373,0.059955546,TX3,Gulf_and_Midwest,crain_3d,1514.390637,-751.4982251
0.643129105,0.08886765,TX3,Gulf_and_Midwest,crain_7d,1737.639641,-863.1227271
0.852149172,0.042275944,OK,Gulf_and_Midwest,dyln_fl50,-90.05624284,50.09071645
0.975353654,0.007725224,OK,Gulf_and_Midwest,dyln_change_sec,1155.960116,-572.9174629
0.895929118,0.031403877,OK,Gulf_and_Midwest,FL50,1029.084861,-509.4798355
0.022423616,0.054274263,OK,Gulf_and_Midwest,GR50,1124.860027,-557.3674182
0.766651431,0.064646009,OK,Gulf_and_Midwest,cgdd_12c_gr2fl,1924.591687,-957.2332486
0.301121726,0.144234096,OK,Gulf_and_Midwest,crain_gr2fl,1826.622924,-908.2488671
