PLANT_ID,LIBRARY,LIB_CLIMATE,LIB_PHENO
J222.A,INHZ,Y,Y
J224.A,INIA,Y,Y
J225.A,INIB,Y,Y
J226.A,INIC,Y,Y
J228.A,INID,Y,Y
J229.A,INIE,Y,Y
J230.A,INIF,Y,Y
J231.A,INIG,Y,Y
J234.A,INIH,Y,Y
J235.A,INII,Y,Y
J237.A,INIK,Y,Y
J238.A,INIL,Y,Y
J240.A,INIM,Y,Y
J246.A,ININ,Y,Y
J206.A,INIR,Y,Y
J223.A,IRUB,Y,Y
J241.A,IRUG,Y,Y
J245.A,IRUI,Y,Y
J368.A,IRUK,Y,Y
J368.B,IRUL,Y,Y
J368.C,IRUM,Y,Y
J395.B,IRUN,Y,Y
J420.A,IRUP,Y,Y
J433.A,IRUQ,Y,Y
J501.C,IRUR,Y,Y
J504.B,IRUS,Y,Y
J515.A,IRUT,Y,Y
J541.C,IRUU,Y,Y
J574.C,IRUW,Y,Y
J580.A,IRUY,Y,Y
J584.C,IRUZ,Y,Y
J587.B,IRWA,Y,Y
J592.C,IRWB,Y,Y
J596.B,IRWC,Y,Y
J602.C,IRWD,Y,Y
J627.A,IRWG,Y,Y
J634.A,IRWH,Y,Y
J638.A,IRWI,Y,Y
J639.A,IRWJ,Y,Y
J643.A,IRWK,Y,Y
J652.C,IRWL,Y,Y
J653.B,IRWM,Y,Y
J653.C,IRWN,N,Y
J656.A,IRWP,Y,Y
J656.B,IRWQ,Y,Y
J656.C,IRWR,Y,Y
J657.A,IRWS,Y,Y
J657.B,IRWT,Y,Y
J657.C,IRWU,Y,Y
J658.A,IRWW,Y,Y
J658.B,IRWX,Y,Y
J660.A,IRXA,Y,Y
J660.B,IRXB,Y,Y
J660.C,IRXC,Y,Y
J661.A,IRXD,Y,Y
J661.B,IRXE,Y,Y
J662.D,IRXG,N,Y
J662.E,IRXH,N,Y
J662.F,IRXI,Y,Y
J662.A,IRXJ,Y,Y
J662.B,IRXK,Y,Y
J662.C,IRXL,Y,Y
J663.A,IRXM,Y,Y
J663.B,IRXN,Y,Y
J663.C,IRXP,Y,Y
J664.F,IRXQ,Y,Y
J664.A,IRXR,Y,Y
J664.B,IRXS,Y,Y
J664.C,IRXT,Y,Y
J664.D,IRXU,Y,Y
J664.G,IRXW,Y,Y
J664.E,IRXX,Y,Y
J665.D,IRXY,Y,Y
J665.A,IRXZ,Y,Y
J665.B,IRYA,Y,Y
J665.C,IRYB,Y,Y
J665.E,IRYC,Y,Y
J665.F,IRYD,Y,Y
J665.G,IRYE,Y,Y
J665.H,IRYF,Y,Y
J666.A,IRYG,Y,Y
J666.B,IRYH,Y,Y
J666.C,IRYI,Y,Y
J667.C,IRYJ,Y,Y
J667.A,IRYK,Y,Y
J667.B,IRYL,Y,Y
J669.A,IRYN,Y,Y
J669.B,IRYP,Y,Y
J669.C,IRYQ,Y,Y
J670.A,IRYR,Y,Y
J670.B,IRYS,Y,Y
J670.C,IRYT,Y,Y
J671.A,IRYU,Y,Y
J671.B,IRYW,Y,Y
J671.C,IRYX,Y,Y
J672.A,IRYY,Y,Y
J672.B,IRYZ,Y,Y
J681.A,IRZA,Y,Y
J464.A,ITAU,Y,Y
J673.A,ITBJ,Y,Y
J673.B,ITBK,Y,Y
J673.C,ITBL,Y,Y
J673.D,ITBM,Y,Y
J674.A,ITBN,Y,Y
J674.B,ITBP,Y,Y
J674.C,ITBQ,Y,Y
J675.C,ITBR,Y,Y
J676.A,ITBS,Y,Y
J676.B,ITBT,Y,Y
J676.C,ITBU,Y,Y
J677.A,ITBW,Y,Y
J677.B,ITBX,Y,Y
J677.C,ITBY,Y,Y
J678.A,ITBZ,Y,Y
J678.C,ITCA,Y,Y
J679.A,ITCB,Y,Y
J679.B,ITCC,Y,Y
J679.C,ITCD,Y,Y
J680.A,ITCE,Y,Y
J680.C,ITCF,Y,Y
J682.A,ITCG,Y,Y
J682.B,ITCH,Y,Y
J683.A,ITCJ,Y,Y
J683.C,ITCK,Y,Y
J683.D,ITCL,Y,Y
J683.E,ITCM,Y,Y
J684.A,ITCN,Y,Y
J684.B,ITCP,Y,Y
J685.A,ITCQ,Y,Y
J685.B,ITCR,Y,Y
J685.C,ITCS,Y,Y
AP13,REF,Y,Y
