"between(MINF_BRKG_2018, 0.05, 0.95)","between(MINF_PKLE_2018, 0.05, 0.95)","between(MINF_FRMI_2018, 0.05, 0.95)","between(MINF_KING_2018, 0.05, 0.95)","between(MINF_OVTN_2018, 0.05, 0.95)","between(MINF_KBSM_2018, 0.05, 0.95)","between(MINF_LINC_2018, 0.05, 0.95)","between(MINF_STIL_2018, 0.05, 0.95)","between(MINF_TMPL_2018, 0.05, 0.95)","between(MINF_CLMB_2018, 0.05, 0.95)","between(MINF_BRKG_2019, 0.05, 0.95)","between(MINF_PKLE_2019, 0.05, 0.95)","between(MINF_FRMI_2019, 0.05, 0.95)","between(MINF_KING_2019, 0.05, 0.95)","between(MINF_OVTN_2019, 0.05, 0.95)","between(MINF_KBSM_2019, 0.05, 0.95)","between(MINF_LINC_2019, 0.05, 0.95)","between(MINF_STIL_2019, 0.05, 0.95)","between(MINF_TMPL_2019, 0.05, 0.95)","between(MINF_CLMB_2019, 0.05, 0.95)",n,frac
TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,90,9e-4
TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,88,8.8e-4
TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,81,8.1e-4
FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,80,8e-4
FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,78,7.8e-4
TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,77,7.7e-4
TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,73,7.3e-4
TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,71,7.1e-4
FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,70,7e-4
FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,70,7e-4
